sample,Barcode,Pond_ID,Device,County,Easting,Northing,Survey_ID,PilotArea,Max_Depth,Approx_Circ,Max_Width,Max_Length,Pond_Area,Pond_Density,Overhang,Shading,Macrophytes,HSI,Permanance,Quality,Pond_Substrate,Inflow,Outflow,Pollution,Amphibians,Waterfowl,Fish,Woodland,Rough_Grass,Scrub_Hedge,Ruderals,Terrestrial_Other,Overall_Habitat_Score,HSI_Band,ESRI_OID
F274,S14-024743,TQ94SW_3147,T14,Kent,591657.94,141240.77,T30-17,"Ashford, Kent",0.5,97,17,32,450,6.69,80,80,10,0.286767004,Never dries,Poor,Clay,Present,Absent,Absent,None,Major,Major,Some,Some,Important,None,Some,Moderate,Poor,693
F275,S14-024388,SJ55NE_456,T20,Cheshire,358987.37,359163.35,T5-65,"Nantwich, Cheshire",1,170,40,45,650,4.14,20,10,10,0.450333073,Never dries,Poor,Clay,Absent,Present,Absent,None,Major,Absent,None,None,Important,None,Some,Poor,Poor,3
F276,S14-024375,SJ64NE_30,T16,Cheshire,367384.95,346680.27,T4-13,"Nantwich, Cheshire",1,140,19,55,700,12.42,10,10,20,0.810154676,Never dries,Moderate,Clay,Present,Absent,Absent,None,Minor,Absent,Some,Some,Important,Some,Some,Moderate,Excellent,68
F277,S14-023779,TQ93NE_178,T9,Kent,597463.92,136740.21,T29-4,"Ashford, Kent",1,40,7,12,100,28.98,0,0,50,0.741504185,Sometimes dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,None,Some,Moderate,Good,638
F278,S14-025277,SJ65NW_615,T18,Cheshire,362755.86,359305.04,T1-50,"Nantwich, Cheshire",0.6,50,10,20,80,5.1,0,0,80,0.58239141,Dries annually,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Important,None,None,Moderate,Below Average,122
F279,S14-024166,TQ84SE_2599,T9,Kent,589550.11,140227.8,T16-48,"Ashford, Kent",2,60,15,17,200,25.48,90,80,10,0.664218632,Never dries,Moderate,Clay,Present,Present,Absent,None,Absent,Absent,None,None,Important,None,None,Poor,Average,623
F28,S14-023782,TQ83NE_516,T14,Kent,586655.52,138949.39,T25-135,"Ashford, Kent",1.5,150,30,55,1500,23.57,30,30,10,0.426178146,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Major,Minor,Some,Some,Important,None,None,Poor,Poor,521
F280,S14-024308,SJ64NW_174,T16,Cheshire,363517.1,349716.18,T4-47,"Nantwich, Cheshire",0.6,135,28,42,1050,25.8,90,80,30,0.734903869,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Important,Some,Some,Moderate,Good,83
F282,S14-024846,SJ64NW_282,T20,Cheshire,361613.97,348077.87,T4-138,"Nantwich, Cheshire",1.2,115,25,45,850,9.55,10,20,50,0.792719131,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Minor,Some,Important,Important,Some,Some,Good,Good,101
F283,S14-024850,SJ55NE_446,T18,Cheshire,359560.64,358015.62,T5-100,"Nantwich, Cheshire",1,54,12,15,180,6.05,90,70,0,0.680783301,Never dries,Poor,Clay,Present,Absent,Absent,None,Absent,Absent,Important,Important,Important,Important,Important,Good,Average,2
F284,S14-025252,SJ65SW_1141,T18,Cheshire,364060.62,351896.34,T19-13,"Nantwich, Cheshire",0.8,90,20,25,400,10.83,40,30,10,0.63229984,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Some,Some,None,Poor,Average,211
F285,S14-024774,SJ64NW_306,T20,Cheshire,360852.59,348608.07,T4-54,"Nantwich, Cheshire",2,110,25,30,750,8.6,0,10,10,0.450333073,Never dries,Poor,Sand/gravel/pebbles;Clay;Lined,Present,Absent,Absent,None,Major,Minor,Some,Some,Important,None,Important,Good,Poor,103
F286,S14-025245,SJ66SW_1112,T18,Cheshire,363812.5,360491.05,T4-84,"Nantwich, Cheshire",0.7,65,19,20,350,22.93,0,0,70,0.912670253,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Important,Important,Some,Some,Good,Excellent,295
F287,S14-024196,TQ83NE_383,T14,Kent,585229.38,139222.37,T25-50,"Ashford, Kent",1,125,30,37,1000,13.06,100,100,0,0.548870527,Never dries,Poor,Clay,Present,Present,Absent,None,Minor,Possible,Some,Some,Important,None,None,Poor,Below Average,510
F288,S14-024344,SJ64NW_183,T16,Cheshire,363137.79,349357.18,T4-33,"Nantwich, Cheshire",0.5,150,18,35,900,20.7,10,0,10,0.741913663,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Important,None,Some,Moderate,Good,87
F289,S14-025239,SJ65SW_1162,T20,Cheshire,362358.29,353102.51,T10-62,"Nantwich, Cheshire",1,80,15,20,300,7.96,10,10,0,0.661645459,Never dries,Poor,Not known,Present,Absent,Absent,None,Minor,Possible,Some,Some,Some,Some,Some,Moderate,Average,219
F29,S14-024000,SJ65SW_1174,T20,Cheshire,363612.58,354735.39,T10-75,"Nantwich, Cheshire",2,100,20,30,600,15.92,10,50,10,0.759033557,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,None,Important,Important,Some,None,Moderate,Good,227
F290,S14-023804,TQ84SE_2571,T14,Kent,586937.83,140071.59,T25-86,"Ashford, Kent",1,130,15,100,1500,2.23,100,100,0,0.626765712,Rarely dries,Poor,Clay,Present,Present,Absent,None,Absent,Absent,Some,Some,Important,None,None,Moderate,Average,620
F291,S14-025254,SJ55NE_494,T16,Cheshire,358440.37,357225.84,T4-122,"Nantwich, Cheshire",1,165,29,60,1350,10.83,10,20,50,0.877171148,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Important,Some,Some,Some,Good,Excellent,18
F292,S14-024794,TQ84SE_2606,T9,Kent,589812.89,140125.94,T16-46,"Ashford, Kent",2,70,15,17,200,15.92,20,50,30,0.817097721,Never dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,Some,Some,Moderate,Excellent,624
F293,S14-024206,TF17NW_247,T22,Lincoln,514262.98,377751.42,T8-106,"Wragby, Lincolnshire",0.5,80,20,20,400,5.1,80,60,0,0.724051602,Sometimes dries,Poor,Clay,Absent,Absent,Present,None,Absent,Absent,Important,Important,Some,None,Some,Good,Good,378
F294,S14-024675,TQ83NE_888,T9,Kent,588694.23,137214.45,T25-5,"Ashford, Kent",1.5,100,25,25,400,44.59,50,50,30,0.661534558,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Average,569
F295,S14-024845,SJ55NE_570,T18,Cheshire,359900.98,356548.15,T5-34,"Nantwich, Cheshire",0.5,90,20,25,250,13.06,20,10,50,0.69882186,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,Important,Some,None,Moderate,Average,37
F296,S14-024682,TQ83NE_598,T9,Kent,588709.06,138949.67,T30-94,"Ashford, Kent",0.7,77,18,28,450,16.56,30,20,20,0.810154676,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Moderate,Excellent,547
F297,S14-024834,SJ55NE_466,T20,Cheshire,358859.88,357314.57,T1-107,"Nantwich, Cheshire",0.1,50,14,14,190,1.91,80,80,60,0.647849444,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Some,Important,None,None,Moderate,Average,9
F298,S14-024869,SJ64NW_268,T20,Cheshire,362454.88,348230.89,T19-79,"Nantwich, Cheshire",1,130,40,35,850,1.59,100,100,0,0.677332268,Rarely dries,Moderate,Sand/gravel/pebbles,Absent,Absent,Absent,None,Absent,Absent,Important,Some,Important,Some,Some,Moderate,Average,100
F299,S14-024647,TQ94SW_2941,T14,Kent,591500.71,141563.54,T30-21,"Ashford, Kent",0.5,38,16,16,150,31.21,100,100,10,0.58523985,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Some,None,None,Moderate,Below Average,680
F3,S14-023998,SJ65NW_633,T16,Cheshire,361294.89,359131.78,T5-50,"Nantwich, Cheshire",1.5,48,12,12,144,4.46,90,70,10,0.612786809,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Average,129
F30,S14-024371,SJ66SW_1049,T18,Cheshire,362636.16,360479.85,T1-15,"Nantwich, Cheshire",4,54,12,15,180,7.01,10,20,10,0.62692706,Never dries,Poor,Clay,Present,Absent,Absent,None,Minor,Possible,Some,Some,None,Some,Some,Moderate,Average,289
F300,S14-024627,TQ93NW_1259,T9,Kent,591061.23,137691.5,T30-183,"Ashford, Kent",0.5,40,8,10,50,33.44,100,50,10,0.488501249,Dries annually,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,None,Important,None,Some,Moderate,Poor,673
F301,S14-024409,TQ93NE_104,T9,Kent,596586.27,136135.86,T3-97,"Ashford, Kent",0.5,90,14,31,450,12.42,100,100,0,0.569963253,Dries annually,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,None,None,None,None,Good,Below Average,628
F302,S14-024793,TQ93NE_117,T9,Kent,597101.54,135147.1,T3-47,"Ashford, Kent",1,60,16,18,350,18.79,50,50,10,0.801920968,Rarely dries,Moderate,Clay,Absent,Present,Absent,Sm/pal larva,Absent,Absent,Some,None,Important,None,None,Moderate,Excellent,629
F303,S14-024648,TQ83NE_550,T14,Kent,585692.02,138001.65,T29-100,"Ashford, Kent",1,57,15,23,250,36.94,100,100,0,0.496060408,Dries annually,Moderate,Clay,Present,Present,Absent,None,Minor,Absent,Important,Some,Important,Some,Important,Moderate,Poor,534
F304,S14-024731,TQ93SE_2686,T9,Kent,598334.06,134740.72,T3-35,"Ashford, Kent",1,90,23,26,600,36.31,70,90,40,0.783432918,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,Palmate ad,Absent,Absent,Important,Some,None,None,None,Good,Good,678
F305,S14-024394,TQ93NW_1136,T9,Kent,592982.63,135544.44,T21-92,"Ashford, Kent",1,20,7,10,50,32.17,60,50,60,0.512871123,Dries annually,Moderate,Clay;Peat/organic,Absent,Present,Present,None,Minor,Absent,Some,None,Some,None,None,Poor,Below Average,666
F306,S14-024674,TQ93NW_1121,T9,Kent,592991.56,135705.52,T13-106,"Ashford, Kent",2,130,25,25,500,21.34,60,70,20,0.745927476,Rarely dries,Moderate,Clay;Peat/organic,Present,Present,Present,None,Minor,Absent,Some,Some,Some,None,None,Poor,Good,664
F307,S14-024677,TQ83NE_866,T9,Kent,589360.67,137547.15,T30-176,"Ashford, Kent",1.5,70,14,27,250,25.16,20,50,20,0.772187439,Sometimes dries,Moderate,Clay,Present,Present,Absent,None,Absent,Absent,Some,Some,Important,None,Important,Good,Good,567
F308,S14-024742,TQ94SW_3133,T14,Kent,592258.77,140266.69,T30-47,"Ashford, Kent",2,60,14,20,300,34.71,0,0,80,0.867869321,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,None,Some,None,Some,Moderate,Excellent,690
F309,S14-024769,TQ93NE_260,T9,Kent,596176.61,137881.72,T3-59,"Ashford, Kent",1,90,25,25,650,15.29,50,70,10,0.880472514,Rarely dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Important,Important,None,None,Good,Excellent,650
F31,S14-024379,SJ65NW_854,T18,Cheshire,363291.09,359800.11,T1-53,"Nantwich, Cheshire",2.5,80,20,20,400,10.83,0,0,60,0.844301543,Never dries,Moderate,Clay,Absent,Absent,Absent,C.frog spawn,Minor,Absent,None,None,Important,None,None,Moderate,Excellent,196
F310,S14-024582,TQ93NW_1108,T9,Kent,593108.12,136249.5,T13-51,"Ashford, Kent",1.5,175,15,70,900,9.24,90,100,0,0.518629237,Sometimes dries,Poor,Clay,Absent,Absent,Present,None,Minor,Possible,Some,Some,Some,None,None,Poor,Below Average,658
F311,S14-024738,TQ83NE_539,T14,Kent,585888.45,138727.89,T25-24,"Ashford, Kent",1,100,20,40,800,33.76,100,100,0,0.597124336,Never dries,Poor,Clay,Present,Present,Absent,None,Absent,Absent,None,None,Important,None,None,Poor,Below Average,528
F312,S14-024679,TQ83SE_2775,T14,Kent,587887.27,134104.96,T13-114,"Ashford, Kent",0.75,80,15,25,350,4.14,100,100,0,0.523036742,Sometimes dries,Poor,Clay,Absent,Absent,Present,None,Minor,Absent,Some,None,Some,None,None,Poor,Below Average,580
F313,S14-024400,TQ94SW_3093,T14,Kent,592625.81,142308.62,T30-71,"Ashford, Kent",0.5,130,27,39,850,32.17,100,100,0,0.60435707,Sometimes dries,Poor,Clay,Present,Absent,Absent,None,Absent,Absent,Important,None,None,None,None,Moderate,Average,685
F314,S14-024395,TQ94SW_3094,T14,Kent,592703.11,142307.92,T30-70,"Ashford, Kent",0.5,130,20,45,800,15.29,90,80,10,0.685015521,Sometimes dries,Poor,Clay,Present,Absent,Absent,None,Absent,Absent,Important,None,None,None,None,Moderate,Average,686
F315,S14-024392,TQ93NW_1117,T9,Kent,592926.9,135583.58,T21-95,"Ashford, Kent",1,45,10,12,100,29.3,100,100,0,0.392851479,Dries annually,Poor,Clay;Peat/organic,Present,Absent,Present,None,Minor,Absent,Some,None,Some,None,None,Poor,Poor,661
F316,S14-024581,TQ93NW_1115,T9,Kent,592944.1,135568.68,T21-94,"Ashford, Kent",1,15,5,8,50,23.57,80,80,30,0.434671997,Dries annually,Poor,Clay;Peat/organic,Absent,Absent,Present,None,Minor,Absent,Some,None,Some,None,None,Poor,Poor,660
F317,S14-024748,TQ94SW_3088,T14,Kent,592401.37,142144.66,T30-72,"Ashford, Kent",0.5,72,16,26,300,17.52,30,40,30,0.740578049,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Some,None,None,Moderate,Good,684
F318,S14-025255,SJ65NW_804,T16,Cheshire,361157.74,355146.41,T5-99,"Nantwich, Cheshire",1.5,44,10,12,120,8.6,30,20,10,0.672599431,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,None,Important,None,Some,Moderate,Average,178
F319,S14-024399,TQ93NW_1114,T9,Kent,592962.1,135557.58,T21-93,"Ashford, Kent",1,20,6,10,50,30.57,100,100,0,0.366543391,Dries annually,Poor,Clay;Peat/organic,Present,Absent,Present,None,Minor,Absent,Some,None,None,None,None,Poor,Poor,659
F32,S14-024387,SJ55NE_461,T20,Cheshire,358951.96,358655.2,T19-51,"Nantwich, Cheshire",1,120,28,40,650,3.18,20,30,40,0.527048779,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Major,None,Some,Important,Some,Some,Moderate,Below Average,4
F320,S14-024754,TQ94SW_2946,T14,Kent,590420.96,141480.38,T30-3,"Ashford, Kent",0.5,50,13,15,150,29.94,60,70,30,0.694929132,Never dries,Good,Clay,Present,Absent,Absent,None,Minor,Absent,Some,None,Some,None,None,Poor,Average,681
F321,S14-025246,SJ66SE_873,T18,Cheshire,365569.44,361762.92,T4-100,"Nantwich, Cheshire",0.7,220,30,78,2350,6.69,70,90,20,0.668504262,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Some,Some,Some,Moderate,Average,268
F322,S14-025247,SJ66SE_899,T18,Cheshire,365897.89,361028.77,T4-109,"Nantwich, Cheshire",0.6,60,15,15,250,36.62,70,80,0,0.703518699,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,Important,Some,Good,Good,276
F323,S14-025264,SJ65SW_1227,T16,Cheshire,360683.26,354211.57,T1-70,"Nantwich, Cheshire",1.2,140,35,37,1250,1.59,60,50,30,0.82937092,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Important,Some,None,Some,Moderate,Excellent,235
F324,S14-024789,SJ66SE_906,T18,Cheshire,365388.89,360759.37,T1-91,"Nantwich, Cheshire",0.2,45,8,15,120,11.78,80,100,40,0.534327594,Rarely dries,Poor,Clay,Present,Absent,Absent,None,Minor,Absent,None,Some,Important,None,Some,Poor,Below Average,281
F325,S14-025236,SJ65SW_1229,T16,Cheshire,360776.58,354502.32,T1-72,"Nantwich, Cheshire",1,160,31,40,1400,1.59,20,30,70,0.814240735,Never dries,Poor,Clay,Present,Absent,Absent,None,Absent,Absent,Important,Important,Some,None,Some,Moderate,Excellent,237
F326,S14-024762,SJ65NW_741,T20,Cheshire,364608.77,355069.82,T4-137,"Nantwich, Cheshire",1.2,360,60,120,3000,8.92,20,30,10,0.804649561,Never dries,Moderate,Clay;Not known,Present,Absent,Absent,None,Minor,Absent,Some,Important,Some,Some,Important,Good,Excellent,168
F327,S14-024795,SJ65SW_1236,T18,Cheshire,360803.37,354733.42,T7-15,"Nantwich, Cheshire",1,98,19,30,570,2.23,70,40,10,0.721570542,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Some,Important,Some,Important,Moderate,Good,243
F328,S14-024594,SJ65SW_1235,T16,Cheshire,361066.36,354716.97,T7-16,"Nantwich, Cheshire",1.5,56,10,18,180,0.96,0,20,20,0.655696211,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Possible,Important,Some,Important,Some,Important,Moderate,Average,242
F329,S14-024653,SJ65SW_1361,T18,Cheshire,361328.18,349991.02,T10-9,"Nantwich, Cheshire",2,138,15,54,800,7.32,30,90,10,0.643922346,Never dries,Moderate,Not known,Absent,Absent,Absent,None,Minor,Possible,Some,Some,Some,Some,None,Poor,Average,267
F33,S14-024048,TF17NE_13,T29,Lincoln,517159.74,378942.21,T6-113,"Wragby, Lincolnshire",2,110,20,35,700,9.87,0,0,30,0.860350629,Never dries,Good,Clay,Present,Present,Absent,None,Absent,Possible,None,Important,Important,Some,None,Moderate,Excellent,318
F330,S14-025266,SJ65SW_1234,T16,Cheshire,360697.47,354667.42,T1-75,"Nantwich, Cheshire",0.1,70,20,20,400,0.64,20,20,60,0.836569681,Rarely dries,Moderate,Clay,Present,Absent,Absent,None,Absent,Absent,Important,Important,Important,None,None,Moderate,Excellent,241
F331,S14-024764,SJ65SW_1244,T18,Cheshire,360833.72,354938.35,T7-25,"Nantwich, Cheshire",1.5,66,14,19,266,5.1,100,70,0,0.709847106,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,None,Important,Some,Important,Moderate,Good,250
F332,S14-025249,SJ66SE_900,T18,Cheshire,365560.47,361282.78,T4-97,"Nantwich, Cheshire",0.35,114,9,48,450,12.1,10,20,90,0.877713913,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Important,Important,Some,Important,Good,Excellent,277
F333,S14-024784,SJ66SE_896,T18,Cheshire,365926.62,360292.84,T7-32,"Nantwich, Cheshire",2,58,12,17,204,38.85,10,10,60,0.787761195,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Possible,Some,Important,Important,Some,Important,Moderate,Good,274
F334,S14-024613,SJ65SW_1232,T16,Cheshire,361161.15,354137.7,T1-79,"Nantwich, Cheshire",2,130,30,32,1000,0.64,10,10,10,0.769830423,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Important,Important,None,None,Moderate,Good,239
F335,S14-024405,SJ65SW_1208,T16,Cheshire,361321.36,354159.83,T7-19,"Nantwich, Cheshire",1.5,66,16,17,272,4.14,10,0,70,0.81454682,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Possible,Important,Important,Important,Important,Important,Good,Excellent,231
F336,S14-025235,SJ65SW_1251,T20,Cheshire,364383.06,351330.49,T10-78,"Nantwich, Cheshire",1,120,15,45,680,12.42,0,0,50,0.718495206,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Minor,None,Some,Some,Some,Some,Moderate,Good,251
F337,S14-024798,SJ66SE_880,T18,Cheshire,365177.83,361413.63,T4-101,"Nantwich, Cheshire",1,76,12,26,300,6.37,30,50,20,0.769809149,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Possible,Some,Some,Some,Important,Some,Moderate,Good,271
F338,S14-025234,SJ66SE_894,T18,Cheshire,365968.55,361083.62,T4-108,"Nantwich, Cheshire",0.8,130,17,48,800,18.79,60,50,30,0.903163456,Rarely dries,Moderate,Clay,Absent,Absent,Absent,C.frog spawn,Absent,Absent,Some,Some,Some,Some,Some,Good,Excellent,273
F339,S14-024771,SJ65SW_1243,T18,Cheshire,360720.97,354901.25,T7-24,"Nantwich, Cheshire",1,56,12,16,192,5.73,100,60,0,0.689717019,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,None,Important,Some,Important,Moderate,Average,249
F34,S14-024352,SJ55NE_518,T20,Cheshire,357581.3,355340.01,T4-72,"Nantwich, Cheshire",1.5,50,16,16,200,5.1,10,30,40,0.839662611,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Important,Important,Some,Some,Good,Excellent,20
F340,S14-025338,SJ65SW_1242,T16,Cheshire,360998.78,354840.18,T7-9,"Nantwich, Cheshire",1.5,60,15,15,225,5.73,80,40,0,0.681981033,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,Important,Some,Important,Some,Important,Moderate,Average,248
F341,S14-024797,SJ65SE_924,T20,Cheshire,365975,350053.84,T19-4,"Nantwich, Cheshire",0.5,68,10,28,250,9.24,0,0,80,0.896405434,Rarely dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Important,Some,Some,Important,Good,Excellent,203
F342,S14-024593,SJ64NW_290,T18,Cheshire,361638.89,349912.63,T10-7,"Nantwich, Cheshire",1,36,18,18,320,7.96,10,10,40,0.767291934,Never dries,Moderate,Not known,Absent,Absent,Absent,None,Minor,Possible,Some,Some,Some,Some,None,Moderate,Good,102
F343,S14-024761,SJ65SE_926,T20,Cheshire,366027.03,350122.06,T10-6,"Nantwich, Cheshire",2,102,18,34,600,11.15,30,60,10,0.736033209,Never dries,Moderate,Not known,Absent,Absent,Absent,None,Minor,Minor,Important,Important,Important,Some,Important,Good,Good,205
F344,S14-024787,SJ66SE_890,T18,Cheshire,365119.42,360307.68,T1-67,"Nantwich, Cheshire",2,80,12,30,350,4.78,0,0,30,0.692278099,Never dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Possible,None,None,Some,None,None,Poor,Average,272
F345,S14-024597,SJ55SE_968,T20,Cheshire,358417.65,352127.18,T10-23,"Nantwich, Cheshire",1.5,124,30,32,960,13.38,30,40,50,0.858135148,Rarely dries,Good,Not known,Absent,Absent,Absent,None,Minor,Possible,None,Important,Important,Some,Some,Moderate,Excellent,55
F346,S14-025269,SJ65SW_1228,T16,Cheshire,360769.86,354515.83,T1-77,"Nantwich, Cheshire",1.5,70,17,20,340,12.74,30,30,80,0.867869321,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Important,Important,None,None,Moderate,Excellent,236
F347,S14-024760,SJ65SE_1470,T20,Cheshire,365943.73,350071.17,T10-5,"Nantwich, Cheshire",1.5,68,11,23,250,3.18,0,0,10,0.762528011,Never dries,Moderate,Clay,Absent,Absent,Absent,Sm/pal larva,Minor,Absent,Important,Important,Some,Some,Important,Good,Good,200
F348,S14-024636,SJ65SW_1257,T20,Cheshire,364291.65,351278.15,T19-8,"Nantwich, Cheshire",1.5,160,53,43,1600,4.46,30,20,20,0.796151782,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Absent,None,Some,Some,Some,Some,Moderate,Good,255
F349,S14-024592,SJ64NE_92,T20,Cheshire,365347.7,349698.17,T19-28,"Nantwich, Cheshire",2,60,13,15,250,4.14,10,10,30,0.771222979,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Possible,None,Some,Important,Important,Some,Moderate,Good,77
F35,S14-024359,SJ65NW_852,T18,Cheshire,363074.65,359759.73,T19-35,"Nantwich, Cheshire",2,170,30,56,1200,10.83,20,10,30,0.81791319,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Some,Some,None,Moderate,Excellent,195
F350,S14-025272,SJ64NE_97,T20,Cheshire,365305.09,348030.21,T10-89,"Nantwich, Cheshire",0.75,50,10,15,150,4.14,0,0,30,0.802335253,Rarely dries,Good,Clay,Absent,Absent,Absent,Sm/pal larva,Absent,Absent,None,Important,Important,Some,Some,Moderate,Excellent,78
F351,S14-024662,SJ55SE_1024,T16,Cheshire,359208.45,350959.84,T10-48,"Nantwich, Cheshire",1.5,60,15,15,230,7.01,10,10,10,0.652058617,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Possible,Some,Some,Important,Some,Some,Moderate,Average,47
F352,S14-024655,SJ64NW_190,T18,Cheshire,363738.7,349628.14,T4-44,"Nantwich, Cheshire",0.7,150,33,41,1350,4.46,0,0,30,0.792242971,Never dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,Some,Some,Moderate,Good,90
F353,S14-025248,SJ64NE_23,T20,Cheshire,367085.06,349115.66,T10-93,"Nantwich, Cheshire",1.5,75,12,25,300,3.5,10,30,80,0.780179016,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Important,Important,Some,Some,Moderate,Good,64
F354,S14-024652,SJ55SE_1023,T16,Cheshire,359187.97,350806.24,T10-46,"Nantwich, Cheshire",1.5,140,25,45,1130,6.37,40,70,30,0.778312439,Rarely dries,Moderate,Not known,Absent,Absent,Absent,None,Minor,Possible,Some,Some,Important,Some,Some,Moderate,Good,46
F355,S14-024621,SJ55SE_1033,T16,Cheshire,359109.46,351416.47,T10-39,"Nantwich, Cheshire",0.5,65,12,20,250,11.15,10,10,10,0.534572475,Dries annually,Poor,Not known,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,Some,None,Poor,Below Average,52
F356,S14-024620,SJ65NW_773,T18,Cheshire,361289.85,357471.44,T5-71,"Nantwich, Cheshire",0.5,52,12,14,168,7.32,0,0,90,0.655746777,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Important,Some,Some,Poor,Average,173
F357,S14-024623,SJ65NW_706,T18,Cheshire,361414.23,357490.08,T5-70,"Nantwich, Cheshire",1,54,13,13,169,3.18,0,0,40,0.725730075,Rarely dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,Some,Some,Poor,Good,161
F358,S14-025337,SJ66SE_903,T18,Cheshire,365545.09,360443.12,T1-57,"Nantwich, Cheshire",1.2,70,10,25,250,35.35,80,90,10,0.614986636,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Important,None,None,Moderate,Average,279
F359,S14-024785,SJ66SE_901,T18,Cheshire,365393.25,360447.28,T1-56,"Nantwich, Cheshire",2,46,8,15,120,35.67,0,0,100,0.791486897,Never dries,Good,Clay,Present,Present,Absent,None,Absent,Absent,None,None,Important,None,None,Moderate,Good,278
F36,S14-024316,SJ65SW_1161,T20,Cheshire,362029.35,353276.41,T10-80,"Nantwich, Cheshire",0.75,40,10,10,100,8.28,10,10,10,0.6332514,Rarely dries,Poor,Not known,Present,Absent,Present,None,Absent,Possible,Some,Important,Important,Some,Some,Moderate,Average,218
F360,S14-024788,SJ65SE_925,T20,Cheshire,365996.63,350029.56,T19-3,"Nantwich, Cheshire",1.5,66,8,24,200,9.24,0,0,80,0.867436576,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Important,Some,Some,Important,Good,Excellent,204
F361,S14-024605,SJ65NE_376,T16,Cheshire,366566.45,359306.73,T5-85,"Nantwich, Cheshire",0.2,68,17,17,289,9.87,0,0,100,0.732085616,Sometimes dries,Moderate,Clay,Absent,Present,Absent,None,Absent,Absent,Important,Some,Important,None,None,Poor,Good,114
